79,8,A008,1800064,PT BANK AGRIS,,2018-01-01,31/12/2018,105/PKS/BSP/III/2017,PKS,1,35,,Aktif
80,5,A005,1800065,PT BANK BNI SYARIAH,,2018-01-01,31/12/2018,083/PKS-AMD/BSP/III/2018,AMD,1,5,,Aktif
81,1,A001,1800066,PT BANK BNI SYARIAH,,2017-01-01,31/12/2018,316/PKS-ADD/BSP/XII/2016,ADD,1,7,,Aktif
82,8,A008,1800066,"PT BANK CENTRAL ASIA, TBK",,2018-01-01,28/02/2019,084/MGE/PAM/2016,PKS,1,228,,Aktif
83,8,A008,1800067,PT BANK COMMONWEALTH,,2017-01-02,2019-01-02,15/AGR/V/2017,PKS,1,96,,Aktif
84,8,A008,1800067,"PT BANK DANAMON INDONESIA, TBK",,2018-01-06,31/08/2019,0019-1/PKS/PROC/VM/0617,PKS,1,1,,Aktif
85,8,A008,1800068,PT BANK HSBC INDONESIA,,2018-01-08,2020-02-08,044/PK-GPU/VII/2018,PKS,1,104,,Aktif
86,4,A004,1800069,PT BANK HARDA INTERNATIONAL,,2018-01-08,31/07/2019,239/PKS-AMD/BSP/VIII/2018,AMD,1,2,,Aktif
87,8,A008,1800070,PT BANK INA PERDANA,,2018-01-01,31/12/2018,033/PKS-ADD/BSP/I/2018,ADD,1,45,,Aktif
88,5,A005,1800071,PT BANK INDEX SELINDO,,2018-01-03,28/02/2019,085/PKS/BSP/II/2018,PKS,1,7,,Aktif
89,6,A006,1800072,PT BANK MAYAPADA INTERNASIONAL,,2018-01-02,31/01/2019,065/PKS-AMD/BSP/II/2018,AMD,1,12,,Aktif
90,1,A001,1800073,PT BANK MAYAPADA INTERNASIONAL,,2018-01-05,30/04/2019,136/PKS/BSP/IV/2018,PKS,1,7,,Aktif
91,8,A008,1800074,"PT BANK MAYBANK INDONESIA, TBK",,2017-01-02,31/01/2020,015/PKS/BSP/I/2017,PKS,1,764,,Aktif
92,5,A005,1800074,PT BANK MITRANIAGA,,17/06/2018,16/06/2019,201/PKS/BSP/VII/2018,PKS,1,2,,Aktif
93,8,A008,1800075,"PT BANK MUAMALAT INDONESIA, TBK",,31/12/2016,31/12/2018,087/PKS-ADD/BSP/III/2017,ADD,1,187,,Aktif
94,8,A008,1800075,PT BANK NATIONALNOBU,,2018-01-01,31/12/2018,231/PKS/BSP/III/2018,PKS,1,15,,Aktif
