79,1808079,AREA JAWA I,INDOSIAR VISUAL MANDIRI,"Sum I, Sum II, Jawa I, Jawa II, Jawa III, Indtim ",1-Jan-19,31-Dec-19,AKTIF,1
80,1808080,AREA JAWA I,KOPERASI PINJAM JASA SAHABAT MITRA SEJATI ,"Sumatera I, Jawa I, Jawa III, Indonesia Timur",1-May-20,30-Apr-22,AKTIF,1
81,1808081,AREA JAWA I,"MITRA PINASTHIKA MUSTIKA, TBK","Sumatera, Jawa I, Jawa II, Jawa III dan Kalimantan",1-Feb-20,31-Jan-21,AKTIF,1
82,1808082,AREA JAWA I,MULTINDO AUTO FINANCE,"Jawa I, Jawa II, Jawa III",1-May-20,30-Apr-21,AKTIF,1
83,1808083,AREA JAWA I,SUMBER CIPTA MULTNIAGA,"Sumatera, Jawa I",1-Jan-20,31-Dec-20,AKTIF,1
84,1808084,AREA JAWA I,BANK HSBC INDONESIA (BANK EKONOMI RAHARJA),"Sumatera, Jawa I, Jawa II, Kalimantan, Indonesia Timur",1-Aug-18,2-Aug-20,AKTIF,1
85,1808085,AREA JAWA I,BANK INA PERDANA,"Jawa I, Jawa II, Jawa III",1-Jan-19,31-Dec-19,AKTIF,1
86,1808086,AREA JAWA I,"BANK RAKYAT INDONESIA, TBK",Kantor Cabang Khusus BRI,1-Aug-20,31-Jul-21,AKTIF,1
87,1808087,AREA JAWA I,"BANK RAKYAT INDONESIA, TBK",Audit Intern Wilayah BRI Jakarta 1,1-Aug-19,31-Jul-20,AKTIF,1
88,1808088,AREA JAWA I,"BANK RAKYAT INDONESIA, TBK",Kanpus BRI,1-Jul-19,30-Jun-20,AKTIF,1
89,1808089,AREA JAWA I,"BANK RAKYAT INDONESIA, TBK",Jakarta,9-Aug-19,9-Aug-22,AKTIF,1
90,1808090,AREA JAWA I,BANK PEMBANGUNAN DAERAH PAPUA,Cabang Jakarta,3-Feb-20,4-Feb-21,AKTIF,1
91,1808091,AREA JAWA I,"BANK DANAMON INDONESIA, TBK","Sumatera, Jawa I, Kalimantan dan Indonesia Timur",1-Sep-19,30-Sep-20,AKTIF,1
92,1808092,AREA JAWA I,"BANK MAYBANK INDONESIA, Tbk, PT","Sumatera, Jawa I, Kalimantan dan Indonesia Timur",1-Apr-20,31-Mar-23,AKTIF,1
93,1808093,AREA JAWA I,"BANK MUAMALAT INDONESIA, TBK","Sumatera, Jawa I, Jawa II, Jawa III dan Kalimantan",1-Oct-19,31-Dec-20,AKTIF,1
94,1808094,AREA JAWA II,ANEKA HUSADA ( KEBUMEN EYE CENTER),Kebumen,22-Mar-20,22-Mar-21,AKTIF,1
95,1808095,AREA JAWA II,APP TIMBER,"KIK, Jalan Wanamarta Raya 03 Brangsong, Kendal",19-Jun-20,18-Jun-21,AKTIF,1
96,1808096,AREA JAWA II,ASIANAGUNG AGROJAYA,Site Semarang,2-Jan-18,1-Jan-19,BERAKHIR,1
97,1808097,AREA JAWA II,"PT ASTRA INTERNATIONAL, TBK",,1-Jan-20,31-Dec-20,AKTIF,1
98,1808098,AREA JAWA II,AST INDONESIA,Jalan Raya Semarang-Kendal KM 12 Kota Semarang,1-Jan-20,31-Dec-20,AKTIF,1
99,1808099,AREA JAWA II,BAKTI BUNGA ANANDA,"Dusun Pelemsari, Bokuharjo, Prambana, Sleman",1-Dec-19,30-Nov-20,AKTIF,1
100,1808100,AREA JAWA II,BANGUN TRIPATRIAJATI (HONDA PEKALONGAN MOTOR),Honda Pekalongan Motor Gudang,1-Jan-20,31-Dec-20,AKTIF,1
101,1808101,AREA JAWA II,BUANA KARYA SUGIARTHA (HOTEL MARLIN PEKALONGAN),Pekalongan,1-Mar-18,30-Apr-19,BERAKHIR,1
102,1808102,AREA JAWA II,CANDI MEKAR,Pemalang-Jawa Tengah,21-Nov-18,20-Nov-19,AKTIF,1
103,1808103,AREA JAWA II,CITRA MANDIRI MULTIFINANCE,Jalan Mayjend Sutoyo No. 33 Semarang,22-Nov-17,22-Nov-18,AKTIF,1
104,1808104,AREA JAWA II,CITO PUTRA UTAMA,Semarang,5-Jan-20,4-Jan-21,AKTIF,1
105,1808105,AREA JAWA II,CV. BUDI DJAYA TEH BANDULAN,Kota Pekalongan,1-Jan-20,31-Dec-20,AKTIF,1
106,1808106,AREA JAWA II,CV MAJU BERSAMA (SUPRA FASHION),Jl. Urip Sumoharjo No. 24 A,1-Oct-19,1-Oct-20,AKTIF,1
107,1808107,AREA JAWA II,CV MEKAR JAYA SENTOSA,"Pemalang, Kota Tegal, Cilacap, Banyumas, Brebes, Pekalongan, Kab. Tegal",1-Jan-20,31-Dec-20,AKTIF,1
108,1808108,AREA JAWA II,CV PUSAKA HIDUP,Jalan Semarang Demak KM 7 No. 443,11-Dec-18,10-Dec-19,AKTIF,1
109,1808109,AREA JAWA II,CV SINAR MEKAR,Jalan Nitipuran,1-Jan-20,31-Dec-20,AKTIF,1
110,1808110,AREA JAWA II,CV. SRIKANDI MAKMUR SEJAHTERA,Jalan HM Sarbini No. 88 Kebumen-Jawa Tengah,1-Jan-20,31-Dec-20,AKTIF,1
111,1808111,AREA JAWA II,DIPO STAR FINANCE,Purwokerto,11-Jul-19,10-Jul-20,AKTIF,1
112,1808112,AREA JAWA II,DUTA KEKAR PLASINDO,Sragen,1-Jun-19,31-May-20,AKTIF,1
113,1808113,AREA JAWA II,DOVA PUTERA MANUNGGAL SEJATI,Tegal ,1-Jan-20,31-Dec-20,AKTIF,1
114,1808114,AREA JAWA II,ELIZABETH HANJAYA,Jl. Merdeka No. 38 Purwokerto,9-Oct-19,8-Oct-20,AKTIF,1
115,1808115,AREA JAWA II,ELIZABETH HANJAYA,Jl. Imam Bonjol No. 194 Semarang,24-Oct-19,23-Oct-20,AKTIF,1
116,1808116,AREA JAWA II,"ENSEVAL PUTERA MEGATRADING, TBK ",Purwokerto,1-Jan-19,31-Dec-19,AKTIF,1
117,1808117,AREA JAWA II,EURO DESIGN,Semarang,12-Feb-20,11-Feb-21,AKTIF,1
118,1808118,AREA JAWA II,GEREJA BETHEL INDONESIA,"Jalan Gajah Mada No. 78-86 Semarang, Jawa Tengah",1-Aug-20,31-Jul-21,AKTIF,1
119,1808119,AREA JAWA II,HARAPAN EMAS NUSANTARA,"Jalan Magelang KM 7 RT 011, RW 005 Kota Sleman",1-Jun-20,1-Sep-20,AKTIF,1
120,1808120,AREA JAWA II,PT SUMBER WISATA JAYA (HARPER),Jalan P. Mangkubumi No. 52 Gowongan Yogyakarta,1-Mar-20,28-Feb-21,AKTIF,1
121,1808121,AREA JAWA II,JANSEN INDONESIA,Jl. Tambak Raya No. 7 Semarang,1-Jan-19,31-Dec-20,AKTIF,1
122,1808122,AREA JAWA II,JAWASURYA KENCANA INDAH,Kawasan Industri Tergoyo Blok N/1 Semarang,1-Jan-20,31-Dec-20,AKTIF,1
123,1808123,AREA JAWA II,KEN TANZAH MAKMUR (RS KEN SARAS),"Jl. Raya Soekarno Hatta KM 30, Bergas, Ungaran, Kab. Semarang",1-Jan-20,31-Dec-20,AKTIF,1
124,1808124,AREA JAWA II,KENT GRONKJAER INTERNATIONAL,Kabupaten Jepara,28-Jul-20,28-Jan-21,AKTIF,1
125,1808125,AREA JAWA II,KERETA API INDONESIA (PERSERO),Wilayah DAOP 4 Semarang,1-Jan-19,31-Dec-19,BERAKHIR,1
126,1808126,AREA JAWA II,KOPERASI SIMPAN PINJAM JASA,"Kota Pekalongan, Kab. Pekalongan, Pemalang, Tegal, Surakarta, Boyolali, Kota Semarang, Kab. Semarang, Waleri Kendal, Batang, Jepara, Banjarnegara, Pati",1-Jan-20,31-Dec-20,AKTIF,1
127,1808127,AREA JAWA II,LANGGENGHARJO MAKMUR PLASINDO,"Jetis RT 02/ RW 05 Jetis Kulon Jetis, Karanganyar",11-Jul-20,10-Jul-21,AKTIF,1
128,1808128,AREA JAWA II,MEKAR JAYA SENTOSA MULTIKARYA,Tegal dan Semarang,1-Jan-20,31-Dec-20,AKTIF,1
129,1808129,AREA JAWA II,MENDUT NUSANTARA HOTEL (ABADI HOTEL),Jalan Pasar Kembang No. 49 Yogyakarta,1-Dec-19,31-May-20,AKTIF,1
130,1808130,AREA JAWA II,MENSA BINA SUKSES,Purwokerto,1-Jan-20,31-Dec-20,AKTIF,1
131,1808131,AREA JAWA II,MENSA BINA SUKSES,Kawasan Industri Candi Blok 20 A No. 26,1-Nov-19,31-Oct-20,AKTIF,1
132,1808132,AREA JAWA II,NAMASINDO PLAS SOLO,"Jalan Kartasura-Semarang KM 28, Mondorakan Wirogunan",1-Nov-18,1-Nov-19,BERAKHIR,1
133,1808133,AREA JAWA II,NAYATI INDONESIA,Jalan Raya Terboyo No.15 Semarang,1-Apr-19,31-Mar-20,AKTIF,1
134,1808134,AREA JAWA II,NISSIN BISKUIT INDONESIA,Semarang ,1-Jan-20,11-Jun-20,BERAKHIR,1
135,1808135,AREA JAWA II,PASIFIC FURNITURE,Semarang,1-Jan-20,30-Jun-20,AKTIF,1
136,1808136,AREA JAWA II,PASIFIC PERTAMA INDONESIA,Jl. Urip No. 34 Semarang,1-Jan-19,31-Dec-19,AKTIF,1
137,1808137,AREA JAWA II,PEMERINTAH KABUPATEN PURBALINGGA SEKRETARIAT DPRD,Kantor Sekretariat DPRD Purbalingga,4-Jan-19,30-Jun-19,BERAKHIR,1
138,1808138,AREA JAWA II,PRIMA ANAGA RAINA,Jalan Habiproyo No. 28 Kendal-Jawa Tengah,1-Aug-19,1-Aug-20,AKTIF,1
139,1808139,AREA JAWA II,PUTRA WAHID PRATAMA,Putra Wahid Pratama,24-Jun-20,23-Jun-21,AKTIF,1
140,1808140,AREA JAWA II,PUTRA WAHID LAND,Jl Madukoro Raya Semarang,24-Jun-20,23-Jun-21,AKTIF,1
141,1808141,AREA JAWA II,RECKIT BENCKISER INDONESIA,Semarang,1-Sep-19,31-Aug-20,AKTIF,1
142,1808142,AREA JAWA II,RESTOMART CIPTA USAHA,Kawasan Industri Terboyo-Kota Semarang,1-Apr-19,31-Mar-20,AKTIF,1
143,1808143,AREA JAWA II,RIEZ PALACE HOTEL,Jalan Gajah Mada No.74-76 Tegal,1-Jan-20,30-Jun-20,AKTIF,1
144,1808144,AREA JAWA II,RUMAH SAKIT EMANUEL,"Ahmad Yani Purwareja Klampok, Banjarnegara-Jawa Tengah",1-May-20,30-Apr-21,AKTIF,1
145,1808145,AREA JAWA II,RUTAN,Kota Semarang,16-Jul-18,15-Jan-19,AKTIF,1
146,1808146,AREA JAWA II,RSI WONOSOBO,Jl. S Parman Km 03 Wonosobo,1-Aug-19,31-Jul-21,AKTIF,1
147,1808147,AREA JAWA II,RS PURBOWANGI (GRIYA MEDIKA NISMARA),Purbowangi,1-Jan-20,31-Dec-20,AKTIF,1
148,1808148,AREA JAWA II,RSPKU MUHAMMADIYAH GOMBONG,Gombong,1-Jan-20,31-Dec-20,AKTIF,1
149,1808149,AREA JAWA II,RS TELOGOREJO SEMARANG,Semarang,1-Apr-20,31-Mar-21,AKTIF,1
150,1808150,AREA JAWA II,S2DIO INDUSTRIES,"Kawasan Industri Candi Blok 11A No. 15-16 Ngaliyan, Semarang",1-Jul-19,30-Jun-20,AKTIF,1
151,1808151,AREA JAWA II,SEJAHTERA MITRA SOLUSI,"Desk Collection Center, Kota Sukoharjo",27-Jul-19,26-Jul-21,AKTIF,1
152,1808152,AREA JAWA II,SINAR GUNUNG JATI (CABANG TEGAL),Jalan Mataram No. 3 Kel. Muarareja Kec. Tegal Barat Kota Tegal,1-Dec-18,30-Nov-19,AKTIF,1
153,1808153,AREA JAWA II,SONOKEMBANG TUNAS JAYA,Jalan Sinar Waluyo Raya No. 99 Kota Semarang,1-Jan-19,31-Dec-19,BERAKHIR,1
154,1808154,AREA JAWA II,PRASTIKA SARANA (HOTEL BAHARI INN),Hotel Bahari Inn-Tegal,1-Feb-19,31-Jan-20,BERAKHIR,1
155,1808155,AREA JAWA II,RSU PURBOWANGI,Gombong-Kebumen,1-Jan-19,31-Dec-19,AKTIF,1
156,1808156,AREA JAWA II,TAMAN WISATA BALEKAMBANG,Karanganyar,1-Jan-20,31-Dec-20,AKTIF,1
157,1808157,AREA JAWA II,TAT WAI INDUSTRIES,Kendal ,1-Jun-19,31-Dec-19,AKTIF,1
158,1808158,AREA JAWA II,TECHPACK ASIA,Semarang,1-Jan-20,31-Dec-20,AKTIF,1
159,1808159,AREA JAWA II,TOKO JAVENIR,Kab. Karanganyar,1-Jan-20,31-Dec-20,AKTIF,1
160,1808160,AREA JAWA II,TOKO MAS PARIS,Jl. K.H Wahid Hasyim,22-Nov-19,22-Nov-20,AKTIF,1
161,1808161,AREA JAWA II,TOKO QUEEN ACCESORIES,Surakarta,1-Jan-20,31-Dec-20,AKTIF,1
162,1808162,AREA JAWA II,VALUTA INDO JAYA PRIMA,"Jalan Urip Sumoharjo No. 40, Solo",1-Mar-20,28-Feb-21,AKTIF,1
163,1808163,AREA JAWA II,WAHANA INTI NARENDRA,Gedung Merah Putih -SIM CC Semarang 2,1-Aug-19,31-Dec-19,AKTIF,1
164,1808164,AREA JAWA II,WAHAN SUN MOTOR,Wahana Sun Motor & Surya Utama Dian-Semarang,1-Jan-19,31-Dec-19,BERAKHIR,1
165,1808165,AREA JAWA II,YAYASAN KESEHATAN TELOGOREJO (SIM SQUARE),"Kota Semarang, Jl. K.H Ahmad Dahlan",1-Apr-20,31-Mar-21,AKTIF,1
166,1808166,AREA JAWA II,"BANK HARDA INTERNATIONAL, TBK","Jalan Yos Sudarso 324 A, Serengan, Surakarta",1-Aug-19,31-Jul-20,AKTIF,1
167,1808167,AREA JAWA II,BANK NUSANTARA PARAHYANGAN,Jawa II dan Jawa III,1-Jan-19,31-Dec-19,AKTIF,1
168,1808168,AREA JAWA II,BPR GROGOL JOYO,Sukoharjo-Jawa Tengah,20-Dec-19,20-Dec-20,AKTIF,1
169,1808169,AREA JAWA II,ADI SARANA ARMADA ,Selindo,1-Jan-18,31-Dec-18,BERAKHIR,1
170,1808170,AREA JAWA II,ANUGRAH ARGON MEDICA ,Selindo,1-Jan-18,31-Dec-19,AKTIF,1
171,1808171,AREA JAWA II, ANUGERAH PHARMINDO LESTARI ,Selindo ,1-Apr-20,31-Jul-20,AKTIF,1
172,1808172,AREA JAWA II,CIMB NIAGA AUTO FINANCE,Selindo,1-Nov-18,31-Oct-20,AKTIF,1
173,1808173,AREA JAWA II,FEDERAL INTERNATIONAL FINANCE,Selindo,11-Jun-20,11-Jun-21,AKTIF,1
174,1808174,AREA JAWA II,FINANSIA MULTI FINANCE,Selindo,1-May-20,30-Apr-21,AKTIF,1
175,1808175,AREA JAWA II,MAYBANK INDONESIA FINANCE,Selindo,1-Jan-20,31-Dec-20,AKTIF,1
176,1808176,AREA JAWA II,MAXPOWER INDONESIA,Selindo,1-Jan-19,31-Dec-19,AKTIF,1
